Day,Infections,Deaths
1,9,0
2,9,0
3,9,0
4,9,0
5,10,0
6,10,0
7,10,0
8,12,0
9,13,0
10,13,0
11,14,0
12,15,0
13,13,0
14,13,0
15,14,0
16,14,0
17,14,0
18,16,0
19,16,0
20,18,0
21,18,0
22,18,0
23,18,0
24,25,0
25,25,0
26,29,0
27,27,0
28,27,0
29,28,0
30,26,0
31,21,0
32,17,0
33,13,0
34,13,0
35,16,0
36,17,0
37,22,0
38,23,1
39,29,1
40,31,1
41,38,1
42,42,1
43,50,1
44,59,1
45,66,1
46,74,1
47,84,1
48,94,2
49,105,2
50,115,1
51,120,3
52,134,3
53,138,3
54,152,4
55,151,4
56,161,4
57,174,5
58,183,4
59,189,7
60,187,9
61,192,9
62,208,9
63,207,11
64,201,11
65,199,11
66,202,9
67,213,9
68,210,9
69,213,9
70,225,8
71,226,10
72,226,10
73,222,10
74,222,9
75,222,10
76,216,12
77,211,12
78,218,12
79,238,14
80,241,15
81,241,16
82,228,14
83,220,15
84,205,16
85,198,16
86,180,14
87,181,14
88,179,13
89,191,15
90,175,12
91,169,12
92,150,9
93,132,9
94,109,8
95,95,7
96,74,6
97,70,6
98,61,5
99,59,4
100,52,4
101,50,4
102,45,4
103,44,4
104,47,4
105,49,4
106,45,3
107,47,3
108,45,3
109,41,2
110,39,2
111,36,2
112,33,2
113,33,2
114,32,2
115,34,1
116,33,1
117,34,1
118,32,1
119,31,1
120,35,1
121,29,0
122,26,1
123,26,1
124,24,1
125,24,1
126,23,1
127,15,1
128,14,1
129,12,1
130,10,1
131,9,0
132,8,0
133,7,1
134,7,1
135,8,1
136,7,1
137,7,1
138,7,1
139,7,1
140,7,0
141,8,0
142,6,0
143,6,0
144,5,0
145,5,0
146,5,0
147,5,0
148,5,0
149,5,0
150,5,0
151,5,0
152,4,0
